No,Isi Berita,Jenis Berita
12,"Pembunuhan berantai yang melanda Siprus beberapa waktu lalu membuat pemerintah Siprus harus bekerja keras untuk mencari korban pembunuhan berantai yang belum ditemukan. Mengutip AFP, Minggu (28/4), kali ini pencarian fokus dilakukan di dua buah danau sebelah barat daya kota Nicosia. Tempat itu merupakan lokasi yang diketahui sebagai lokasi pembuangan korban tersangka kasus pembunuhan, Nicos Metaxas. Sebelumnya, ia mengaku membunuh delapan orang, termasuk seorang anak asal Filipina. Terhitung sejak 14 April, polisi sudah menemukan tiga jenazah yang semuanya merupakan tenaga kerja asal Filipina. Pencarian dilakukan di kaki Gunung Troodos, tepatnya danau bekas lubang tambang yang saat ini menjadi tempat wisata. Dalam upaya evakuasi itu, petugas mengerahkan penyelam profesional. Penelusuran di dasar danau dengan melibatkan robot bawah air sempat terkendala keterbatasan jarak pandang. ""Kami mencari di tempat-tempat di mana kamera dan robot tidak mendapat gambaran yang jelas. Jadi kami mencari selangkah demi selangkah melibatkan penyelam,"" ujar juru bicara pemadam kebakaran, Andreas Kettis. Kasus ini terungkap secara tak sengaja, setelah seorang turis Jerman menyadari keberadaan sesosok mayat dalam foto yang dia ambil di danau bekas pertambangan. Menanggapi insiden ini, Presiden Siprus Nicos Anastasiades mengecam kejahatan mengerikan yang menelan korban perempuan asing ini. ""Saya terkejut dengan terungkapnya begitu banyak pembunuhan memalukan terhadap perempuan asing dan anak-anak yang tidak bersalah,"" katanya, seraya mengucapkan belasungkawa. ",Luar Negeri
13,"Siapa bilang melantai di bursa itu susah, mahal atau bahkan dibebani banyak beban? Semua itu hanya mitos belaka. Justru perusahaan yang go publik akan mendapatkan banyak manfaat salah satunya yakni mendapatkan sejumlah insentif pajak dari Ditjen Pajak. Apa saja insentif pajak yang didapatkan perusahaan yang melantai di bursa? Pertama, penurunan tarif Pajak Penghasilan (PPh) Badan sebesar 5 persen. Saat ini tarif PPh Badan yang berlaku sebesar 25 persen. Namun dengan melantai di bursa, perusahaan hanya perlu membayar PPh Badan 20 persen. ""Insentif pajak 5 persen sangat berguna bagi perusahaan,"" ujar Kelapa Seksi Peraturan Perpajakan 2 Ditjen Pajak Riztiar Arinta dalam workshop di Kantor Ditjen Pajak, Jakarta, Senin (29/4/2019). Syaratnya, perusahaan harus memperdagangkan minimal 40 persen sahamnya dan minimal saham dimiliki oleh 300 pihak. Selain itu, masing-masing pihak tersebut harus memiliki saham kurang dari 5 persen. Ketentuan ini harus dipenuhi dalam 183 hari dalam satu tahun pajak. Kedua, PPh Final atas penjualan saham di bursa yang hanya sebesar 0,1 persen dari nilai transaksi, ditambah 0,5 persen dari nilai saham untuk penjualan saham pendiri. Ketiga, perhitungan angsuran PPh Pasal 25 juga bisa dilakukan berdasarkan laporan triwulan sesuai dengan kondisi usaha. Keempat, bagi perusahaan yang melantai di bursa, bisa menggunakan nilai buku dalam rangka spin off, atau pemekaran usahanya. Kelima, Ditjen Pajak akan memasukkan perusahaan yang go public ke kantor pelayanan pajak khusus. Hal ini dilakukan untuk memberikan kepastian hukum dan meningkatkan pelayanan.",Keuangan
14,"Kementerian Energi dan Sumber Daya Mineral (ESDM) terus meningkatkan pemanfaatan gas bumi Indonesia untuk kepentingan domestik dibandingkan untuk ekspor. Tren peningkatan alokasi gas untuk domestik ini rata-rata sebesar 8 persen per tahun. Bahkan tahun 2019, porsi gas untuk domestik mencapai 60 persen. Sekretaris Jenderal Kementerian ESDM Ego Syahrial mengatakan, sejak 2014, pemanfaatan gas domestik untuk pertama kalinya lebih besar dari ekspor, yaitu sebesar 53 persen. ""Kita harapkan di tahun 2019 bisa meningkat lagi di atas 60 persen,"" ujar Ego dalam siaran pers, Minggu (28/4/2019). Alokasi gas bumi untuk domestik sepanjang 2018 dimanfaatkan untuk berbagai sektor, mulai dari industri hingga Jaringan Gas Kota (Jargas). Rinciannya, LNG Domestik sebesar 6,03 persen, LPG Domestik sebesar 2,3 persen, kelistrikan sebesar 12,78 persen, dan pupuk 10,94 persen. Sementara alokasi untuk Industri sebesar 25,25 persen, lifting minyak sebesar 2,81 persen, serta jargas 0,05 persen. Ego mengatakan, meskipun jika diekspor harga gas mungkin bisa lebih tinggi, namun komitmen Pemerintah adalah mendorong pemanfaatan domestik. Dengan alokasi gas domestik, pemerintah ingin menggenjot realisasi pembangunan jaringan gas kota (Jargas). Tujuannya adalah memberikan akses energi seluas-luasnya kepada masyarakat, penghematan biaya bahan bakar, mengurangi beban subsidi LPG dan menghemat devisa negara. Pemerintah menargetkan mulai tahun 2020 akan membangun 1 juta Sambungan Rumah (SR) per tahun. ""Kemarin Menteri ESDM sudah memanggil PGN dan PGN siap untuk mendukung pembangunannya, Peraturan Presiden juga sudah ditanda tangani, karena apabila Pemerintah ingin mengurangi impor LPG, maka pembangunan jargas harus dilakukan dalam jumlah besar,"" kata Ego. Ego menambahkan, apabila mengandalkan pembangunan Jargas melalui dana APBN hanya bisa terbangun 100.000 SR per tahun. Menurut dia, dampaknya tidak akan terasa, karena dalam rencana umum penyediaan energi nasional disebutkan bahwa target pemasangan Jargas sekitar 5 juta SR hingga 2025. Sebagai informasi, berdasarkan Peraturan Presiden Nomor 6 Tahun 2019 tentang Penyediaan dan Pendistribusian Gas Bumi Melalui Jaringan Transmisi dan/atau Distribusi Gas Bumi Untuk Rumah Tangga dan Pelanggan Kecil, Menteri ESDM dapat menugaskan BUMN migas penerima penugasan untuk melakukan pengembangan jargas. Pengembangan jargas ini dapat dilakukan dengan menggunakan biaya Pemerintah Pusat atau Pemerintah Daerah dan/atau BUMN migas penerima penugasan. Ego menambahkan, porsi anggaran kementerian ESDM untuk infrastruktur dan program pro rakyat terus ditingkatkan. ""Setelah sejak 2018 porsinya sudah lebih dari 50 persen. Tahun 2020, pun direncanakan menjadi jauh lebih besar dari itu,"" kata Ego.",Keuangan
15,"Selandia Baru dan Prancis akan bekerja sama untuk mengusir teroris dari jaringan media sosial, kata Perdana Menteri Selandia Baru Jacinda Ardern hari Rabu (24/4) di Wellington. Dia dan Presiden Prancis Emmanuel Macron akan memimpin pertemuan dengan para pemimpin dunia dan perusahaan teknologi pada bulan Mei, kata kantor PM Selandia Baru. Selanjutnya disebutkan, konferensi internasional itu akan mendeklarasikan apa yang disebut ""Christchurch Call"" (Panggilan Christchurch). Jacinda Ardern tidak merinci apa yang tertera dalam rancangan Christchurch Call dan mengatakan, dokumen itu sedang ""dikembangkan"". Dia mengatakan sudah berbicara dengan wakil-wakil perusahaan teknologi seperti Facebook, Twitter, Microsoft dan Google tentang hal itu. Konferensi internasional ini adalah bagian dari tindak lanjut atas serangan teror penembakan di masjid di kota Christchurch, Selandia Baru, Maret lalu. Seorang teroris ultra kanan melakukan penembakan di dua masjid dan menewaskan 50 orang. Penyerang menyiarkan secara langsung aksi serangannya lewat Facebook. ""Pada serangan teroris 15 Maret, media sosial digunakan dengan cara yang belum pernah terjadi sebelumnya, sebagai alat untuk mempromosikan tindakan terorisme dan kebencian. Kami minta para pemimpin untuk menunjukkan kepemimpinan dan memastikan media sosial tidak dapat digunakan lagi seperti di serangan teror 15 Maret,"" kata Jacinda Ardern. ""Kita semua harus bertindak, termasuk penyedia sarana media sosial, yang harus lebih bertanggung jawab atas konten yang ada di platform mereka, dan mengambil tindakan agar konten ekstremis yang kejam tidak dapat dipublikasikan dan dibagikan."" Harus ada kebijakan lebih ketat Di Paris, Kantor Kepresidenan Prancis menyatakan, konferensi internasional yang direncanakan bermaksud memastikan bahwa ""kebijakan baru dan konkret akan diambil sehingga apa yang terjadi ti Chrischurch tidak terjadi lagi."" Konferensi itu rencananya digelar selama pertemuan menteri telekomunikasi dan digital negara-negara industri G-7 yang akan berlangsung di Paris 15 Mei mendatang. Presiden Prancis Emmanuel Macron belakangan memang sedang fokus pada isu-isu perkembangan dunia digital dan bagaimana meregulasinya. Selandia Baru telah mengambil kebijakan ketat media sosial dan juga tindakan tegas terhadap orang-orang yang menyebarkan aksi kekerasan di masjid Christchurch. Rekaman aksi penembakan itu memang sempat menyebar dengan cepat melalui media sosial meskipun ada upaya untuk menghapusnya. Prancis dan Selandia Baru kini ingin agar teroris dicegah menggunakan media sosial untuk mengorganisasi dan mempromosikan terorisme dan ekstremisme kekerasan, atau mendistribusikan gambar-gambar kekerasan.",Luar Negeri
16,"Hingga akhir kuartal-I 2019, Kementerian Keuangan mencatat total nilai utang (outstanding) pemerintah pusat mencapai Rp 4.567,31 triliun. Posisi utang pemerintah tersebut tumbuh 10,4 persen dibandingkan posisi Maret 2018 yang sebesar Rp 4.136,39 triliun. Di periode yang sama, pendapatan pajak dalam negeri hanya tumbuh 1,8 persen secara tahunan (yoy) menjadi Rp 248,98 triliun. Padahal, periode yang sama tahun lalu, pertumbuhan pajak dalam negeri mencapai 9,9 persen yoy. Jika kondisi ini terus berlanjut, ekonom Samuel Sekuritas Indonesia Ahmad Mikail khawatir risiko utang pemerintah akan meningkat. Apalagi di luar utang pemerintah, sejatinya masih terdapat utang badan usaha milik negara (BUMN), perusahaan yang menjadi milik pemerintah sepenuhnya, maupun utang perusahaan lainnya yang dijamin oleh pemerintah. ""Posisi utang pemerintah memang masih relatif rendah dengan rasio sekitar 30 persen terhadap PDB. Tapi, ini belum termasuk beban utang BUMN yang sebenarnya juga makin tinggi,"" kata Mikail, Minggu (28/4/2019). Nilai utang yang makin meningkat, tak disertai dengan penerimaan yang bertambah juga. Di sisi lain, pemerintah mesti mempertahankan bahkan menambah belanja untuk menjaga denyut perekonomian di tengah prospek pertumbuhan ekonomi global yang rendah. Kemkeu melaporkan belanja negara per akhir Maret lalu mencapai Rp 452,1 triliun atau setara 18,37 persen dari pagu APBN 2019 yakni sebesar Rp 2.461,11 triliun. Secara tahunan, belanja negara sepanjang kuartal-I 2019 tumbuh 7,7 persen dibandingkan periode yang sama tahun sebelumnya. Pertumbuhan belanja negara ditopang oleh serapan belanja pemerintah pusat sebesar Rp 260,7 triliun atau tumbuh 11,4 persen (yoy).",Keuangan
17,"Lebih 2.000 orang narapidana saat ini menunggu eksekusi hukuman gantung di Kerajaan Malaysia dan setengahnya adalah pengguna dan penyebar narkoba. Narapidana itu, selain warga Malaysia, mereka berasal dari berbagai negara. Ini dikatakan Kriminolog dan ahli kejiwaan University Utara Malaysia (UUM), Prof Madya Dr Jamaluddin Mustaffa dan Prof Madya Kamal Ab Hamid, dalam International Conference on Islamic Civilization (ICOINIC II) yang berlangsung di aula Pascasarjana UIN Ar-Raniry Banda Aceh, Selasa (23/4/2019). “Ada desakan dari dunia luar agar Kerajaan Malaysia menghapus hukuman mati dan menggantinya dengan hukuman seumur hidup,"" katanya. Saat ini, kata dia  kerajaan sedang membahas masalah ini, apakah menghapusnya atau tidak. ""Makanya 2000 lebih pesalah menunggu keputusannya,” kata Mustaffa, seperti dikutip siaran pers yang dikirim Hasan Basri M Nur, unsur panitia ICOINIC II yang juga mahasiswa UUM. “Jika kerajaan memutuskan tidak mahu menghapus hukuman mati, maka semua pesalah yang berjumlah 2000 orang lebih itu akan digantung secara bergilir,” kata Mustaffa yang mantan perwira kepolisian kerajaan Malaysia itu. Menurut Mustaffa dan Kamal, narkoba adalah musuh nomor satu di Malaysia dan kerajaan sangat serius memeranginya. “Dadah (narkoba, red) adalah musuh nomor satu di Malaysia. Dadah sangat merusakkan manusia. Kerajaan akan hancur gara-gara dadah. Makanya hukumannya sangat berat di Malaysia. Pemilik dadah di atas 15 gram akan dihukum gantung,” lanjut Prof Kamal. Kedua akademisi ini memandang narkoba sebagai musuh global yang dipasok ke sebuah negara dengan berbagai cara. “Para mafia dadah menggunakan jalan tikus, jalur laut, sampai memasukkannya ke dalam dubur manusia sekali pun. Semua dilakukan karena mereka mendapatkan duit yang sangat banyak,” lanjut Kamal. Demonstran yang menolak adanya hukuman mati (blog.amnestyusa.org) Prof Mustaffa dan Prof Kamal menyarankan kepada generasi muda agar tidak mencoba-coba dengan narkoba, karena ketika dicoba sekali maka akan ketagihan. “Saat ketagihan apa pun akan dilakukan termasuk membunuh ibunya untuk mendapatkan duit,” kata Prof Mustaffa dibenarkan Prof Kamal. “Di Malaysia bahkan ada hafiz quran yang ikut terkena dadah. Ketika dia selesai belajar hafiz di pesantren lalu pulang ke kampung dan salah dalam bergaul. Dia mencoba dadah, padahal selama di pesantren, merokok saja dia tidak mahu. Inilah yang saya maksud dadahtak mengenal siapa saja,” pungkas Prof Mustaffa. Rombongan akademisi dari UUM Malaysia berangkat ke Banda Aceh sebanyak 40 orang dan berada di Banda Aceh selama lima hari (Senin-Jumat). Selain ikut konferensi, mereka juga akan mengunjungi beberapa lembaga pemasyarakatan (LP) untuk melihat penanganan korban narkoba di Indonesia. Mereka antara lain adalah Prof Dr Noor Azniza Ishak, Dr Siti Rozaina Kamsani, Prof Madya Dr Zawawi Abu Bakar, Zakaria bin Ramli, Muhammad Zulfaqar dan lain-lain.",Luar Negeri
18,"Bambang Brodjonegoro, Menteri Perencanaan Pembangunan Sosial (PPN)/Kepala Bappenas mengatakan, dalam membangun ekonomi syariah, milenial juga harus menjalankan prinsip ekonomi etis selain membangun usahanya. Menurut dia, prinsip ekonomi etis sama dengan prinsip ekonomi syariah, yaitu mengedepankan ekonomi berkelanjutan seperti yang telah menjadi tren global saat ini. ""Jadi untuk kalangan muda yang masih mencari bentuk, tolong perhatikan ekonomi etika sama dengan ekonomi syariah,"" kata Bambang Brodjonegoro di Bandung, Jumat (26/4/2019). Bambang mengatakan, aspek ekonomi etis yang dijalankan setidaknya ada 3 hal, yaitu perdagangan berkeadilan (fair trade), investasi bertanggung jawab sosial, dan membangun CSR (Coorporate Social Responsibility) jika sudah memiliki sebuah usaha. 1. Perdagangan Berkeadilan Dalam perdagangan berkeadilan, pengusaha harus berdagang dengan cara-cara yang adil. Jangan membohongi dan berdaganglah yang sewajarnya. ""Bukan maksudnya enggak boleh cari untung. Tentu saja boleh, tapi harganya jangan tega dibesar-besarkan hingga tidak masuk akal. Jangan membohongi pembeli,"" ucap Bambang. 2. Investasi Bertanggungjawab Sosial Dalam bidang investasi juga demikian. Tentunya, sebagai manusia pasti memiliki hasrat untuk memberikan pertolongan dengan manusia lainnya, contohnya seperti menciptakan lapangan kerja maupun sektor lain yang membantu kehidupan masyarakat. ""Ketika anda semua menjadi pengusaha dan menjadi investor, doronglah investasinya untuk lapangan kerja,"" kata Bambang. Bambang mengatakan, dalam dunia entrepreneurship ada dua macam entrepreneur, yaitu bussiness entrepreneur dan social entrepreneur. Dia mempersilakan milenial memilih yang cocok bagi pribadi masing-masing. ""Kalau mau jadi bussiness entrepreneur, silakan. Asal bisnisnya tidak merusak lingkungan dan harganya tidak dilebih-lebihkan,"" sarannya. Namun, dia juga mengatakan saat ini telah banyak milenial yang memasuki dunia social entreprenuership, yaitu bidang usaha yang membantu kehidupan masyarakat di suatu sektor. 3. Bangun CSR Bambang menyarankan, saat milenial memiliki usaha harus dibarengi dengan CSR. Contohnya mendaur ulang sampah plastik menjadi energi, menjadi daur ulang plastik kembali, dan mendaur ulang menjadi produk lain. Selain ramah terhadap lingkungan, CSR ini juga membantu masyarakat mendapat penghasilan dari hasil daur ulang tersebut.",Keuangan
19,"Ketua Umum Asosiasi Pengusaha Indonesia Hariyadi Sukamdani berharap Bank Indonesia memanfaatkan momentum Pemilihan Umum untuk menurunkan suku bunga. Diketahui, Komisi Pemilihan Umum rencananya akan mengumumkan Presiden terpilih 2019-2024 paling lambat pada 22 Mei 2019. Menurut dia, dengan suku bunga yang lebih kompetitif, maka aktivitas perekonomian semakin positif. ""Kalangan dunia usaha optimistis Pemilu berjalan dengan kondisi yang cukup kondusif. Kita harap BI mengambil posisi pada kesempatan pertama untuk berinisiatif menurunkan 7-Days Repo Rate,"" ujar Hariyadi di kompleks BI, Jakarta, Jumat (3/5/2019). Hariyadi mengatakan, sewaktu pemerintah menyelenggarakan tax amnesty pada 2016 hingga 2017, Apindo sangat mendukung program tersbeut. Saat itu juga confidence pelaku usaha menguat sehingga menjadi titik balik yang positif. Namun, confidence itu turun saat Pemilihan Gubernur DKI Jakarta di 2017 karena konflik yang terjadi membuat ketidakpastian bagi pelaku usaha. Ia berharap, dengan pelaksanaan Pemilu yang aman dan muncul kepastian presiden terpilih usai tanggal 22 Mei, maka menjadi momentum baik bagi BI untuk menyesuaikan suku bunga. ""Kalau bisa saat Rapat Dewan Gubernur ini dikaji lagi. Ini momentum yang bagus karena kondisi itu, secara fluktuasi dinamika itu jadi lebih terkendali dan arahnya positif,"" kata Hariyadi. Pelaku usaha mengharapkan suku bunga BI bisa diturunkan 25 atau 50 basis point. Meski begitu, Apindo menerima alasan BI memprtahankan suku bunga karena melihat risiko global masih menghantui. Namun, menurut dia, faktor domestik di Indonesia juga penting diperhatikan. Sebab, dalam lima tahun terkahir, investasi domestik tumbuh cukup signifikan. ""Sejak ada masalah Pilgub 2017, semua nahan. Ada kecenderungan orang ini nunggu momentum,"" kata Hariyadi. ""Menurut saya sesuatu yang positif untukk counter kebijakan yang cukup agresif,"" lanjut dia.",Keuangan
20,"Kepala Bappenas/Menteri Pembangunan Nasional Bambang Brodjonegoro mengatakan, membangun ekonomi syariah di Indonesia tak cukup hanya melalui penyediaan jasa keuangan syariah semata. ""Kita sudah ada jasa keuangan syariah seperti bank syariah dan asuransi syariah. Tapi itu hanya instrumennya saja. Tidak cukup,"" ucap Bambang Brodjonegoro dalam acara Indonesia Islamic Ecomony Festival di Bandung, Jumat (26/4/2019). Menurut Bambang, dalam membangun ekonomi syariah harus dibarengi dengan praktik ekonomi riil baik berupa penjualan barang maupun penyedia jasa syariah. Apalagi sebut dia, saat ini Indonesia merupakan negara dengan penduduk muslim terbanyak sehingga peluang menciptakan ekonomi syariah masih sangat besar. ""Peluang kita besar sekali. Indonesia merupakan negara muslim terbanyak dan ini masih menjadi peluang untuk membangun produsen ekonomi halal. Bila pembangunan ini sudah merata, bukan tidak mungkin Indonesia menjadi produsen halal global,"" kata Bambang. Lebih lanjut, Bambang menjelaskan Indonesia perlu lebih mengenal ekonomi syariah karena saat ini dunia sudah punya tujuan pembangunan bersama yang ditekankan kepada ekonomi berkelanjutan. Tujuan bersama ini selaras dengan prinsip-prinsip ekonomi syariah yang mengedepankan ekonomi etis. ""Contoh sederhananya, kita mengonsumsi berbagai hal. Tapi sudahkan kita melakukan konsumsi secara etis? kalau makan jangan bersisa, kalau makan jangan dibuang-buang,"" kata Bambang. ""Sama seperti tren industri saat ini, sudah banyak industri yang melakukan program CSR yang mendaur ulang limbah sehingga tidak mubazir. Itu contoh simpel ajaran dengan SDGs,"" tambahnya.",Keuangan
